,Hs,Tp,Dir,P,PPer,Px,Py,Ppar,Hsp,ponto,time
3276,1.1904296875,11.77011489868164,140.7626953125,8.42182350801069,7.707839991047872,-5.3270874114917515,6.522978683884195,3.499286129448287,1.2978307677051495,27,2023-01-27 09:00:00
3277,1.181640625,11.77011489868164,140.4873046875,8.297924237633724,7.610427976856194,-5.279547470166183,6.401712674259217,3.455062000444771,1.2882487521929702,27,2023-01-27 10:00:00
3278,1.1708984375,11.77011489868164,140.1328125,8.147738666721182,7.4926332682200725,-5.222783441893283,6.253653212344669,3.401584321804384,1.276537399900307,27,2023-01-27 11:00:00
3279,1.1591796875,11.77011489868164,139.7529296875,7.985464118007344,7.364044858082416,-5.159288206705267,6.095029317413884,3.3432064052252755,1.2637613792174014,27,2023-01-27 12:00:00
3280,1.1484375,11.636363983154297,139.4345703125,7.728519135054993,7.143593433084142,-5.025979499237692,5.871076399958838,3.243123552622014,1.2432633779738702,27,2023-01-27 13:00:00
3281,1.1396484375,11.636363983154297,139.28125,7.610678129136666,7.042418060706277,-4.964798995029221,5.768291993673346,3.1971908947548524,1.2337486072240702,27,2023-01-27 14:00:00
3282,1.1337890625,11.636363983154297,139.255859375,7.532620407760122,6.971453569315111,-4.916407834798632,5.706952269761408,3.1649736898444143,1.2274054267242036,27,2023-01-27 15:00:00
3283,1.1279296875,11.636363983154297,139.3193359375,7.454965045772116,6.896451055416611,-4.85946316266138,5.65350524934939,3.130923261077912,1.221062246224337,27,2023-01-27 16:00:00
3284,1.123046875,11.636363983154297,139.462890625,7.390559601981691,6.829817117545458,-4.803423355607328,5.616715703794327,3.100672086324173,1.2157762624744481,27,2023-01-27 17:00:00
3285,1.1181640625,11.50561809539795,139.6728515625,7.22638234831948,6.667933587723862,-4.676561153751544,5.509117680656803,3.027178501720865,1.202196518737222,27,2023-01-27 18:00:00
3286,1.11328125,11.50561809539795,139.8828125,7.163407638966452,6.599662450232586,-4.615763637384435,5.478059423354454,2.9961840538934132,1.196946752279854,27,2023-01-27 19:00:00
3287,1.107421875,11.377778053283691,140.0419921875,6.993666131514552,6.43569912929554,-4.491514236512749,5.360752355994167,2.9217462638822482,1.1826805258830089,27,2023-01-27 20:00:00
3288,1.1005859375,11.252747535705566,140.083984375,6.817584922813335,6.271708598984375,-4.374599143542904,5.228990965098849,2.8472961210737293,1.1676973000579676,27,2023-01-27 21:00:00
3289,1.091796875,11.1304349899292,140.0166015625,6.62368875432035,6.096387488607979,-4.256154670135814,5.075273405245373,2.767702002559057,1.1509725239396769,27,2023-01-27 22:00:00
3290,1.0810546875,11.1304349899292,139.8369140625,6.493989042768295,5.984946638517995,-4.188398639655877,4.9627825383471595,2.717108915335305,1.139648107335619,27,2023-01-27 23:00:00
3291,1.0703125,11.1304349899292,139.5478515625,6.365571755330463,5.878984940074659,-4.130064152161714,4.8438697207181045,2.669003310905764,1.1283236907315617,27,2023-01-28 00:00:00
3292,1.0595703125,11.01075267791748,139.177734375,6.160748056209234,5.704959570694582,-4.027371748044935,4.662091098974294,2.5899974464935434,1.1100223471812838,27,2023-01-28 01:00:00
3293,1.048828125,11.01075267791748,138.7763671875,6.036462889323624,5.6056944151645105,-3.978027552747052,4.540284242618144,2.5449320089277223,1.0987686643988008,27,2023-01-28 02:00:00
3294,1.037109375,10.893616676330566,138.31640625,5.830410681725817,5.4315358155825795,-3.8773194958268293,4.3543176554844605,2.465865659269582,1.0798528308733386,27,2023-01-28 03:00:00
3295,1.0263671875,10.778947830200195,137.7998046875,5.642150265078662,5.274433767700675,-3.7899627491450882,4.179717929934964,2.39454282204157,1.0622758836647532,27,2023-01-28 04:00:00
3296,1.0166015625,10.778947830200195,137.21484375,5.535293777038687,5.194339242450634,-3.759854898175003,4.062384563626718,2.358180668496902,1.0521685964747938,27,2023-01-28 05:00:00
3297,1.0068359375,10.666666984558105,136.595703125,5.366029083242574,5.055242669051527,-3.6872239459120735,3.8985443045959784,2.295032145627383,1.0359564743021372,27,2023-01-28 06:00:00
3298,0.9970703125,10.556700706481934,135.919921875,5.202183526288296,4.921123465190715,-3.618966912433955,3.7370833450558174,2.2341433012419425,1.020017992614669,27,2023-01-28 07:00:00
3299,0.98828125,10.556700706481934,135.1337890625,5.110874423921353,4.857029307051855,-3.6054853667748405,3.622362854141744,2.205045162358096,1.0110266488991626,27,2023-01-28 08:00:00
3300,0.982421875,10.448979377746582,133.72265625,4.9937350681870845,4.782543970224989,-3.608941854100116,3.451511064007457,2.1712295270687987,0.9993733104488117,27,2023-01-28 09:00:00
3301,0.978515625,10.34343433380127,131.990234375,4.899504107267253,4.732773619808022,-3.6415998512891616,3.2777875190773798,2.1486342608107876,0.9898993996631429,27,2023-01-28 10:00:00
3302,0.9765625,10.34343433380127,130.2421875,4.879964728494362,4.7502089149682725,-3.724977429722533,3.1525543451948232,2.156549719173696,0.9879235525580269,27,2023-01-28 11:00:00
3303,0.9736328125,10.239999771118164,128.673828125,4.798230331467146,4.6989805623823,-3.7460548441638437,2.9983474478999135,2.133292533782357,0.9796152644244726,27,2023-01-28 12:00:00
3304,0.970703125,10.239999771118164,127.458984375,4.76939776579636,4.690154748085014,-3.7858951184131815,2.9007159807120986,2.1292856979389234,0.9766675755646197,27,2023-01-28 13:00:00
3305,0.966796875,10.239999771118164,126.609375,4.73108950509598,4.664706341131056,-3.7977397293257438,2.8214146901032033,2.1177323629483205,0.9727373237514823,27,2023-01-28 14:00:00
3306,0.962890625,10.239999771118164,125.9580078125,4.692935713188748,4.635694692497824,-3.7986853904518934,2.7556550786500353,2.1045613500870517,0.968807071938345,27,2023-01-28 15:00:00
3307,0.958984375,10.1386137008667,125.322265625,4.605430347529234,4.55693339891741,-3.7576303442098737,2.6627434878741947,2.0688044710543463,0.9597322905403605,27,2023-01-28 16:00:00
3308,0.9541015625,10.1386137008667,124.60546875,4.5586512667907595,4.518548411206119,-3.752144556016053,2.588959753061467,2.051378051300801,0.9548456699164278,27,2023-01-28 17:00:00
3309,0.9501953125,10.039216041564941,123.779296875,4.474117705539096,4.442835690612122,-3.7188214292524058,2.4875884748791393,2.0170051954416914,0.9459511304014702,27,2023-01-28 18:00:00
3310,0.953125,9.941747665405273,122.2119140625,4.455430476066439,4.437009636799259,-3.769661050671876,2.374977113596893,2.0143602223596804,0.9439735670098437,27,2023-01-28 19:00:00
3311,0.96484375,9.84615421295166,119.6103515625,4.519415168448448,4.514725632587046,-3.929205196968764,2.233038285591083,2.0496425461251344,0.9507276338098569,27,2023-01-28 20:00:00
3312,0.986328125,10.039216041564941,115.8017578125,4.820859476598301,4.819805277609564,-4.340245907430275,2.0983211279836045,2.188145806629271,0.9819225505708993,27,2023-01-28 21:00:00
3313,1.0126953125,9.941747665405273,111.2724609375,5.0297633108718784,5.0046533102704345,-4.687063987418738,1.8248150978209285,2.2720650573528514,1.002971914947959,27,2023-01-28 22:00:00
3314,1.0419921875,9.660377502441406,106.5849609375,5.167129758894237,5.081996408309181,-4.952164394316067,1.4748890659702534,2.307178089082867,1.016575600621443,27,2023-01-28 23:00:00
3315,1.0732421875,9.570093154907227,101.98046875,5.428541890673114,5.243089560336105,-5.310299659247358,1.126847189192137,2.380312849676189,1.0419733097035753,27,2023-01-29 00:00:00
3316,1.1025390625,9.84615421295166,98.2763671875,5.901416051039905,5.5891010381963895,-5.8399542637688375,0.8494972657752379,2.5373987734255983,1.0864083993636928,27,2023-01-29 01:00:00
3317,1.1220703125,9.84615421295166,95.998046875,6.112352711076245,5.706298177794592,-6.078890379471126,0.6387076161863938,2.5906051613998318,1.1056538980238115,27,2023-01-29 02:00:00
3318,1.1337890625,9.84615421295166,94.1845703125,6.240692575347695,5.752413053916143,-6.224055912558219,0.45538095848302784,2.611540877055682,1.1172011972198825,27,2023-01-29 03:00:00
3319,1.142578125,9.752381324768066,92.267578125,6.274580663839535,5.699023257510546,-6.2696673186558565,0.24826240232393995,2.5873024167045124,1.1202303927174566,27,2023-01-29 04:00:00
